state,state_abb,unins_all_pct_10,unins_all_pct_15,unins_all_decr_pct,unins_all_decr,cov_emp,cov_parents_plan,lifetime_lim_preACA_tot,lifetime_lim_preACA_child,lifetime_lim_preACA_adultM,lifetime_lim_preACA_adultF,cov_private_tot,cov_private_child,cov_private_adultM,cov_private_adultF,premium_emp_avg_growth_pct_00to10,premium_emp_avg_growth_pct_10to15,premium_emp_savings_15,premium_emp_savings_16,MLR_rebate_beneficiaries_12,MLR_rebate_amt_12,MLR_rebate_beneficiaries_13,MLR_rebate_amt_13,MLR_rebate_beneficiaries_14,MLR_rebate_amt_14,MLR_rebate_beneficiaries_15,MLR_rebate_amt_15,MLR_rebate_amt_12to15,medicaid_enroll_13,medicaid_enroll_16,medicaid_enroll_child_13,medicaid_enroll_incr_13to16,medicaid_full_duals,medicaid_partial_duals,medicaid_full_or_partial_duals,state_has_expanded,insurance_incr_medicaid,cholest_scr_incr_medicaid,mammogram_incr_medicaid,papsmear_incr_medicaid,clinic_care_incr_medicaid,all_care_incr_medicaid,phycisian_visit_ann_incr_medicaid,depression_decr_medicaid,good_health_incr_medicaid,deaths_ann_decr_medicaid,catastrophic_oop_ann_decr_medicaid,indebted_ppl_decr_medicaid,fed_spending_net_incr_inMil,uncompensated_care_decr_inMil,mental_substance_elig_medicaid_share,mental_substance_elig_medicaid,preexisting_condition_09,cov_mkt_plan_16,cov_mkt_16,receive_tax_credit,avg_tax_credit,receive_cost_sharing,avg_num_mkt_plans_avail_17,cov_mkt_under75D_pct,cov_mkt_under100D_pct,cov_offmkt_elig_tax_credit,rate_review_funds_to_state,HIECP_grant_award_to_state,medicare_enroll_16,medicare_benef_donuthole,medicare_benef_donuthole_savings_tot,medicare_benef_donuthole_savings_avg,medicare_partB_free_prev_services,medicare_partB_free_prev_services_share,medicare_incr_readmit_rate,medicare_avoided_readmit,accountable_care_org_num
Mississippi ,MS,18.2,12.7,5.5,161e3,1326e3,22e3,844e3,223e3,294e3,327e3,1160553.0,242244.0,451221.0,467087.0,8.7,3.2,4700.0,6e3,33782.0,2301354.0,40084.0,2073696.0,38890.0,3037442.0,35650.0,4188916.0,11601408.0,637229.0,693869.0,470829.0,56640.0,76367.0,81476.0,157843.0,FALSE,139e3,20300.0,5200.0,8200.0,33e3,16e3,375e3,13e3,18e3,170.0,6200.0,19800.0,1380.0,150.0,0.338,61e3,1261721.0,108672.0,77747.0,73246.0,306.0,60354.0,18.0,0.81,0.85,22e3,4783208.0,1152710.14,571699.0,41041.0,35832183.0,873.0,345847.0,0.716,-7.9,1469.1320000000014,11.0
Missouri ,MO,13.2,9.8,3.4,203e3,3389e3,44e3,2148e3,581e3,775e3,792e3,2778803.0,596633.0,1084657.0,1097512.0,6.6,5.7,700.0,1300.0,385823.0,16126519.0,244764.0,10752433.0,206610.0,13004025.0,185563.0,16341955.0,56224932.0,846084.0,967284.0,624612.0,121200.0,133762.0,39350.0,173112.0,FALSE,191e3,27800.0,7100.0,11300.0,45e3,22e3,516e3,17e3,25e3,230.0,8600.0,27200.0,1370.0,200.0,0.342,91e3,2601893.0,290201.0,252044.0,225878.0,315.0,148033.0,17.0,0.73,0.78,83e3,1e6,NA,1163543.0,107008.0,102895608.0,962.0,580049.0,0.728,-7.1,2311.214,13.0
Montana ,MT,17.3,11.6,5.7,58e3,51e4,7e3,319e3,81e3,122e3,116e3,401717.0,83639.0,157979.0,160099.0,NA,7.1,NA,NA,541.0,141882.0,262.0,6840.0,0.0,0.0,0.0,0.0,148722.0,148974.0,224048.0,120626.0,75074.0,15939.0,9250.0,25189.0,TRUE,32e3,4700.0,1300.0,2e3,8e3,4e3,88e3,3e3,4e3,40.0,1500.0,4600.0,140.0,30.0,NA,NA,426361.0,58114.0,51758.0,44091.0,306.0,23479.0,21.0,0.77,0.8,14e3,1e6,NA,209389.0,13384.0,12097212.0,904.0,106395.0,0.653,-5.8,231.0020000000004,4.0
Nebraska ,NE,11.5,8.2,3.3,62e3,11e5,14e3,701e3,192e3,252e3,257e3,923926.0,201150.0,361309.0,361467.0,6.9,4.1,2300.0,3e3,28020.0,654321.0,15032.0,1150368.0,86.0,67849.0,747.0,95032.0,1967570.0,244600.0,242702.0,161173.0,-1898.0,35151.0,3516.0,38667.0,FALSE,42e3,6100.0,1400.0,2600.0,1e4,5e3,113e3,4e3,6e3,50.0,1900.0,6e3,200.0,40.0,0.313,21e3,767878.0,87835.0,80213.0,72091.0,296.0,41950.0,13.0,0.77,0.82,14e3,3e6,1068804.31,322796.0,30366.0,27674906.0,911.0,193448.0,0.718,-8.3,735.1869999999999,7.0
Nevada,NV,22.6,12.3,10.3,294e3,1505e3,19e3,937e3,269e3,339e3,329e3,1168797.0,261378.0,451754.0,455665.0,NA,6.9,NA,NA,50969.0,3189949.0,53048.0,3318456.0,24101.0,3493603.0,28636.0,6175582.0,16177590.0,332560.0,614298.0,295720.0,281738.0,27107.0,25102.0,52209.0,TRUE,9e4,13100.0,3700.0,5500.0,21e3,1e4,242e3,8e3,12e3,110.0,4e3,12800.0,500.0,90.0,NA,NA,1157045.0,88145.0,79876.0,71472.0,268.0,48736.0,26.0,0.7,0.76,27e3,6138972.0,NA,471747.0,34285.0,33160363.0,967.0,187012.0,0.649,-5.6,529.4400000000005,7.0
New Hampshire ,NH,11.1,6.3,4.8,63e3,853e3,9e3,545e3,14e4,197e3,208e3,690524.0,132043.0,272532.0,285949.0,7.3,4.8,2400.0,3300.0,13004.0,673453.0,12795.0,1457985.0,281.0,132855.0,0.0,0.0,2264293.0,127082.0,189429.0,94622.0,62347.0,20839.0,12241.0,33080.0,TRUE,22e3,3200.0,1e3,1400.0,5e3,3e3,6e4,2e3,3e3,30.0,1e3,3200.0,210.0,20.0,NA,NA,597050.0,55183.0,49114.0,31151.0,261.0,17376.0,32.0,0.42,0.49,3e3,8764186.0,1120164.0,275803.0,21026.0,22023187.0,1047.0,176282.0,0.744,-2.5,151.7470000000003,8.0
New Jersey ,NJ,13.2,8.7,4.5,398e3,545e4,59e3,3274e3,877e3,1183e3,1214e3,4210183.0,887353.0,1621714.0,1701115.0,6.4,5.4,800.0,1400.0,220011.0,10768382.0,42300.0,3434389.0,20320.0,1161336.0,116900.0,2634720.0,17998827.0,1283851.0,1784529.0,848216.0,500678.0,185430.0,25470.0,210900.0,TRUE,194e3,28300.0,7300.0,12e3,46e3,22e3,524e3,18e3,26e3,230.0,8700.0,27600.0,1490.0,200.0,NA,NA,3847727.0,288573.0,249395.0,205242.0,322.0,129277.0,19.0,0.54,0.61,44e3,6325261.0,NA,1528961.0,211881.0,262865304.0,1241.0,940537.0,0.772,-13.3,6773.572,29.0
New Mexico,NM,19.6,10.9,8.7,178e3,884e3,15e3,555e3,148e3,194e3,213e3,735472.0,151593.0,278722.0,305157.0,8.5,4.3,3800.0,5100.0,16762.0,158714.0,0.0,0.0,10703.0,1266980.0,0.0,0.0,1425694.0,457678.0,766732.0,358107.0,309054.0,55415.0,33661.0,89076.0,TRUE,82e3,12e3,3100.0,4700.0,19e3,9e3,222e3,8e3,11e3,100.0,3700.0,11700.0,190.0,90.0,NA,NA,861621.0,54865.0,47497.0,32703.0,212.0,22655.0,20.0,0.56,0.65,8e3,7204929.0,1159064.0,385918.0,23642.0,23792440.0,1006.0,156682.0,0.634,-2.6,118.43199999999979,3.0
New York,NY,11.9,7.1,4.8,939e3,10895e3,147e3,6432e3,1609e3,2294e3,2529e3,8619856.0,1666177.0,3371547.0,3582133.0,7.6,5.9,1600.0,2500.0,608740.0,27943748.0,571041.0,10125994.0,285390.0,6657645.0,276804.0,23154640.0,67882027.0,5678417.0,6431165.0,2467177.0,752748.0,702566.0,138749.0,841315.0,TRUE,143e3,20800.0,7100.0,8800.0,34e3,16e3,385e3,13e3,19e3,170.0,6400.0,20300.0,5210.0,150.0,NA,NA,8616234.0,271964.0,224014.0,123830.0,178.0,40544.0,71.0,NA,NA,68e3,9998743.0,1244446.34,3424666.0,359127.0,429276680.0,1195.0,1486645.0,0.744,-10.6,8407.361000000004,38.0
North Carolina ,NC,16.8,11.2,5.6,552e3,4934e3,7e4,3091e3,804e3,1101e3,1186e3,3966308.0,813423.0,1521574.0,1631312.0,7.5,4.7,2400.0,3300.0,170192.0,7678199.0,136641.0,5757595.0,147076.0,6535508.0,49235.0,7588265.0,27559567.0,1595952.0,2072282.0,1430363.0,476330.0,240953.0,78767.0,319720.0,FALSE,313e3,45600.0,11500.0,19100.0,74e3,36e3,845e3,29e3,42e3,380.0,14e3,44500.0,3670.0,330.0,0.267,144e3,4099922.0,613487.0,545354.0,499178.0,401.0,360045.0,10.0,0.82,0.85,138e3,4984080.0,1114013.82,1823454.0,173412.0,175662465.0,1013.0,950381.0,0.765,-6.5,2472.1100000000006,20.0
North Dakota ,ND,9.8,7.8,2.0,15e3,45e4,7e3,253e3,66e3,94e3,93e3,359032.0,75742.0,142235.0,141055.0,7.4,5.0,1900.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69980.0,89763.0,41959.0,19783.0,10871.0,2930.0,13801.0,TRUE,18e3,2600.0,600.0,1100.0,4e3,2e3,48e3,2e3,2e3,20.0,800.0,2600.0,220.0,20.0,NA,NA,275556.0,21604.0,20536.0,17630.0,262.0,9199.0,19.0,0.71,0.77,4e3,1e6,NA,122294.0,11866.0,11470436.0,967.0,71547.0,0.729,-6.5,267.10000000000036,3.0
Ohio ,OH,12.3,6.5,5.8,664e3,6831e3,81e3,4154e3,11e5,1512e3,1542e3,5240575.0,1070945.0,2049292.0,2120337.0,7.1,5.3,1500.0,2300.0,4158.0,126190.0,31802.0,777679.0,28722.0,1098474.0,63490.0,1187002.0,3189345.0,2341481.0,3003170.0,1260252.0,661689.0,206885.0,121737.0,328622.0,TRUE,381e3,55500.0,14900.0,22300.0,91e3,44e3,1029e3,35e3,51e3,460.0,17100.0,54200.0,5030.0,400.0,NA,NA,5053131.0,243715.0,212046.0,174448.0,250.0,95312.0,45.0,0.51,0.6,64e3,5091507.0,NA,2208504.0,237303.0,258550550.0,1090.0,885625.0,0.716,-10.6,5404.684000000001,19.0
Oklahoma ,OK,18.9,13.9,5.0,192e3,1948e3,29e3,1197e3,317e3,43e4,45e4,1556695.0,330670.0,598873.0,627152.0,6.4,5.4,800.0,1300.0,174513.0,10212156.0,70381.0,5604352.0,74671.0,5488984.0,26001.0,1871932.0,23177424.0,790051.0,788544.0,512059.0,-1507.0,91920.0,21795.0,113715.0,FALSE,127e3,18500.0,5e3,7500.0,3e4,15e3,343e3,12e3,17e3,150.0,5700.0,18100.0,770.0,130.0,0.332,71e3,1578794.0,145329.0,130178.0,113209.0,298.0,81053.0,13.0,0.84,0.86,33e3,NA,NA,693677.0,65788.0,67925763.0,1032.0,388681.0,0.706,-10.3,1877.7019999999975,7.0
Oregon,OR,17.1,7.0,10.1,403e3,207e4,28e3,1356e3,342e3,485e3,529e3,1737240.0,346157.0,669765.0,721318.0,7.5,4.5,2600.0,3500.0,10918.0,2064985.0,26110.0,1615836.0,28010.0,2540524.0,9375.0,144946.0,6366291.0,626356.0,1021862.0,416789.0,395506.0,76890.0,46415.0,123305.0,TRUE,159e3,23200.0,6e3,9700.0,38e3,18e3,429e3,15e3,21e3,190.0,7100.0,22600.0,740.0,170.0,NA,NA,1692205.0,147109.0,131167.0,95507.0,253.0,52960.0,28.0,0.56,0.62,26e3,9814586.0,1245919.0,784032.0,54007.0,50494389.0,935.0,269101.0,0.664,-0.7,75.1989999999987,4.0
Pennsylvania ,PA,10.2,6.4,3.8,479e3,7502e3,89e3,4582e3,1136e3,1677e3,1769e3,6127383.0,1170391.0,2445708.0,2511285.0,7.3,5.1,1900.0,2700.0,37218.0,821449.0,2662.0,707524.0,244.0,86004.0,1480.0,254243.0,1869220.0,2386046.0,2883114.0,1375842.0,497068.0,357932.0,84568.0,442500.0,TRUE,261e3,38e3,9500.0,15100.0,62e3,3e4,704e3,24e3,35e3,310.0,11700.0,37100.0,3350.0,280.0,NA,NA,5489162.0,439238.0,412347.0,321345.0,248.0,227304.0,12.0,0.71,0.75,111e3,5312084.0,1486251.0,2588577.0,297606.0,313453847.0,1053.0,1081445.0,0.747,-8.3,4995.045999999995,27.0
Rhode Island,RI,12.2,5.7,6.5,68e3,597e3,8e3,374e3,89e3,138e3,147e3,484193.0,90706.0,191892.0,201595.0,NA,3.5,NA,NA,1265.0,18053.0,710.0,48696.0,0.0,0.0,0.0,0.0,66749.0,190833.0,287173.0,115307.0,96340.0,33142.0,7296.0,40438.0,TRUE,22e3,3200.0,700.0,1400.0,5e3,3e3,6e4,2e3,3e3,30.0,1e3,3200.0,270.0,20.0,NA,NA,462538.0,34670.0,35583.0,30015.0,250.0,21270.0,NA,NA,NA,4e3,8636923.0,1090263.35,208324.0,15785.0,14392653.0,912.0,92065.0,0.764,-10.5,486.9499999999998,5.0
South Carolina ,SC,17.5,10.9,6.6,317e3,2487e3,35e3,1458e3,397e3,495e3,566e3,1955568.0,406798.0,726416.0,822354.0,7.2,4.8,2e3,2800.0,13541.0,153575.0,98621.0,2855793.0,7201.0,600331.0,26.0,1387.0,3611086.0,889744.0,994804.0,630610.0,105060.0,127328.0,26210.0,153538.0,FALSE,16e4,23300.0,6500.0,9700.0,38e3,18e3,432e3,15e3,21e3,190.0,7200.0,22800.0,1250.0,170.0,0.324,87e3,1991315.0,231849.0,204846.0,186345.0,312.0,150030.0,25.0,0.68,0.74,21e3,1e6,NA,974114.0,98589.0,107311751.0,1088.0,549051.0,0.756,-6.1,1236.8450000000012,12.0
South Dakota ,SD,12.4,10.2,2.2,19e3,449e3,6e3,295e3,82e3,104e3,109e3,392422.0,85614.0,152850.0,153957.0,6.4,5.2,900.0,1400.0,784.0,41240.0,867.0,2582.0,0.0,0.0,0.0,0.0,43822.0,115501.0,119835.0,82431.0,4334.0,11970.0,7429.0,19399.0,FALSE,25e3,3600.0,900.0,1500.0,6e3,3e3,68e3,2e3,3e3,30.0,1100.0,3600.0,190.0,30.0,NA,NA,345932.0,25999.0,24578.0,22005.0,307.0,15108.0,17.0,0.79,0.83,17e3,4000923.0,NA,161464.0,13616.0,12395059.0,910.0,87816.0,0.699,-11.4,515.094,3.0
Tennessee ,TN,14.4,10.3,4.1,266e3,3369e3,47e3,2042e3,523e3,744e3,775e3,2745436.0,549675.0,1076050.0,1119711.0,6.9,4.2,2100.0,2800.0,79428.0,1968764.0,281481.0,6401466.0,26110.0,1303715.0,25197.0,2408730.0,12082675.0,1244516.0,1627100.0,NA,382584.0,146943.0,125949.0,272892.0,FALSE,179e3,26100.0,7300.0,10700.0,43e3,2e4,483e3,16e3,24e3,220.0,8e3,25500.0,1770.0,190.0,0.358,114e3,2764651.0,268867.0,231705.0,203112.0,299.0,138272.0,7.0,0.81,0.83,79e3,4979002.0,NA,1266920.0,114993.0,109733424.0,954.0,600644.0,0.748,-8.7,2904.5440000000017,15.0
Texas ,TX,23.7,17.1,6.6,1781e3,13709e3,205e3,7536e3,2094e3,2671e3,2771e3,10278005.0,2258657.0,3990134.0,4029215.0,8.1,3.5,4300.0,5400.0,100975.0,5435404.0,42097.0,1870997.0,26009.0,5845356.0,18925.0,6930691.0,20082448.0,4441605.0,4770229.0,3512929.0,328624.0,374617.0,298977.0,673594.0,FALSE,1107e3,161300.0,40400.0,68900.0,263e3,127e3,2989e3,101e3,147e3,1330.0,49600.0,157400.0,5440.0,1170.0,0.232,406e3,10694840.0,1306208.0,1092650.0,913177.0,271.0,646415.0,26.0,0.73,0.78,252e3,5326798.0,NA,3765946.0,346750.0,366381273.0,1057.0,1746043.0,0.717,-5.8,4960.198000000004,37.0
Utah ,UT,15.3,10.5,4.8,143e3,1897e3,25e3,1183e3,411e3,385e3,387e3,1509455.0,431216.0,538759.0,539479.0,7.2,4.9,1900.0,2600.0,89203.0,3850128.0,93127.0,2486251.0,703.0,337213.0,1172.0,201132.0,6874724.0,294029.0,314182.0,221678.0,20153.0,30334.0,6154.0,36488.0,FALSE,68e3,9900.0,1800.0,4100.0,16e3,8e3,184e3,6e3,9e3,80.0,3e3,9700.0,240.0,70.0,0.4,42e3,1150918.0,175637.0,164415.0,145288.0,187.0,106589.0,22.0,0.76,0.82,56e3,8750077.0,996216.82,358887.0,28336.0,27106568.0,957.0,146179.0,0.679,-5.7,261.3239999999996,3.0
Vermont,VT,8.0,3.8,4.2,26e3,345e3,5e3,215e3,46e3,82e3,87e3,285858.0,47185.0,115781.0,122892.0,NA,5.6,NA,NA,5248.0,126810.0,0.0,0.0,0.0,0.0,0.0,0.0,126810.0,161081.0,175597.0,64429.0,14516.0,20948.0,7674.0,28622.0,TRUE,3e3,500.0,NA,NA,1e3,NA,9e3,NA,NA,NA,200.0,500.0,110.0,NA,NA,NA,280727.0,29440.0,27883.0,19575.0,300.0,9751.0,NA,NA,NA,1e3,5983045.0,NA,136021.0,10955.0,12077364.0,1102.0,87184.0,0.728,0.7,-21.0,3.0
Virginia ,VA,13.1,9.1,4.0,327e3,485e4,59e3,2974e3,817e3,1036e3,1121e3,3902716.0,847534.0,1467520.0,1587663.0,7.6,4.8,2500.0,3400.0,216242.0,10272687.0,69062.0,8085302.0,163018.0,10625792.0,246593.0,15982185.0,44965966.0,935434.0,988821.0,661558.0,53387.0,122448.0,63928.0,186376.0,FALSE,179e3,26100.0,6800.0,11100.0,43e3,2e4,483e3,16e3,24e3,220.0,8e3,25500.0,1240.0,190.0,0.348,102e3,3491076.0,421897.0,378838.0,319068.0,276.0,222233.0,34.0,0.67,0.73,56e3,1e6,NA,1392261.0,114138.0,115809752.0,1015.0,813642.0,0.762,-6.3,2301.949999999997,25.0
Washington,WA,14.2,6.6,7.6,537e3,3986e3,5e4,2427e3,58e4,91e4,937e3,3079369.0,596597.0,1224572.0,1258201.0,8.1,3.2,4300.0,5500.0,381.0,20550.0,0.0,0.0,31694.0,129860.0,2897.0,441587.0,591997.0,1117576.0,1788536.0,832561.0,670960.0,127464.0,57695.0,185159.0,TRUE,55e3,8e3,1900.0,3300.0,13e3,6e3,148e3,5e3,7e3,70.0,2500.0,7800.0,680.0,60.0,NA,NA,2969739.0,200691.0,158245.0,110476.0,238.0,66083.0,NA,NA,NA,53e3,5586169.0,528441.0,1238649.0,74902.0,73272041.0,978.0,543203.0,0.681,-7.2,1388.0010000000002,6.0
West Virginia ,WV,14.6,6.0,8.6,156e3,976e3,12e3,581e3,147e3,215e3,219e3,772905.0,152226.0,304602.0,316077.0,7.6,5.2,2100.0,3e3,1954.0,271978.0,1186.0,285783.0,457.0,106185.0,7055.0,737553.0,1401499.0,354544.0,575645.0,228688.0,221101.0,46046.0,35763.0,81809.0,TRUE,68e3,1e4,2800.0,4e3,16e3,8e3,185e3,6e3,9e3,80.0,3100.0,9700.0,840.0,70.0,NA,NA,799920.0,37284.0,33235.0,29163.0,388.0,17414.0,13.0,0.63,0.69,15e3,4e6,NA,423500.0,45280.0,54194138.0,1197.0,213916.0,0.707,-6.5,777.3700000000008,11.0
Wisconsin ,WI,9.4,5.7,3.7,211e3,3521e3,41e3,2142e3,58e4,771e3,791e3,2804258.0,573028.0,1107770.0,1123460.0,7.4,4.0,3100.0,4100.0,99129.0,2802562.0,0.0,0.0,2033.0,201289.0,0.0,0.0,3003851.0,985531.0,1046897.0,493942.0,61366.0,140021.0,21617.0,161638.0,FALSE,21e3,3100.0,700.0,1200.0,5e3,2e3,57e3,2e3,3e3,30.0,900.0,3e3,280.0,20.0,NA,NA,2489279.0,239034.0,224208.0,190542.0,332.0,123307.0,44.0,0.63,0.69,51e3,6137844.0,NA,1084854.0,90303.0,93517959.0,1036.0,481012.0,0.751,-7.1,1372.7439999999988,13.0
Wyoming,WY,14.9,11.5,3.4,2e4,335e3,4e3,196e3,54e3,73e3,69e3,267259.0,58596.0,107459.0,101204.0,NA,4.1,NA,NA,3049.0,1275555.0,2120.0,795143.0,484.0,266734.0,0.0,0.0,2337432.0,67518.0,63583.0,39804.0,-3935.0,6744.0,3780.0,10524.0,FALSE,14e3,2e3,600.0,1e3,3e3,2e3,38e3,1e3,2e3,20.0,600.0,2e3,110.0,10.0,0.302,6e3,241133.0,23770.0,22076.0,20313.0,459.0,12235.0,28.0,0.68,0.74,5e3,NA,NA,99128.0,8008.0,7634708.0,953.0,56898.0,0.621,-6.0,109.53800000000001,3.0
