state,state_abb,a.unins_adult.2015,a.unins_adult.2013,a.unins_child.2015,a.unins_child.2013,a.no_care_bc_cost_adult.2015,a.no_care_bc_cost_adult.2013,a.high_OOP_relative_under65.2015,a.at_risk_no_routine_doc_adult.2015,a.at_risk_no_routine_doc_adult.2013,a.no_dental_adult.2014,a.no_dental_adult.2012,q.with_usual_care_adult.2015,q.with_usual_care_adult.2013,q.with_cancer_screening_adult.2014,q.with_cancer_screening_adult.2012,q.with_vaccines_adult.2015,q.with_vaccines_adult.2013,q.with_medical_home_child.2012,q.with_prev_medical_dental_child.2012,q.with_mental_healthcare_child.2012,q.with_vaccines_infant.2015,q.with_vaccines_infant.2013,q.drug_should_avoid_medicare.2014,q.drug_should_avoid_medicare.2012,q.drug_should_avoid_3conditions_medicare.2014,q.drug_should_avoid_3conditions_medicare.2012,q.good_health_provider_medicare.2014,q.good_health_provider_medicare.2013,q.mortality_4conditions_medicare.2015,q.mortality_4conditions_medicare.2013,q.CLABSI_infection_ratio.2014,q.CLABSI_infection_ratio.2013,q.info_recovery_hospitalized.2015,q.info_recovery_hospitalized.2013,q.good_hospital_staff_hospitalized.2015,q.good_hospital_staff_hospitalized.2013,q.improve_mobility_homehealth.2015,q.improve_mobility_homehealth.2013,q.improved_wounds_homehealth.2015,q.improved_wounds_homehealth.2013,q.sores_NHres.2015,q.sores_NHres.2013,q.antipsychotic_med_NHres.2015,q.antipsychotic_med_NHres.2013,u.hosp_asthma_child.2013,u.hosp_asthma_child.2011,u.hosp_ambulatory_65to74yrs.2014,u.hosp_ambulatory_65to74yrs.2012,u.hosp_ambulatory_above75yrs.2014,u.hosp_ambulatory_above75yrs.2012,u.30day_hosp_readmit_medicare.2014,u.30day_hosp_readmit_medicare.2012,u.30day_hosp_readmit_NHres.2014,u.30day_hosp_readmit_NHres.2012,u.hosp_6mos_NHres.2014,u.hosp_6mos_NHres.2012,u.hosp_medicare_homehealth.2015,u.hosp_medicare_homehealth.2013,u.avoidable_ER_medicare.2014,u.avoidable_ER_medicare.2012,u.tot_reimb_employer_ins.2014,u.tot_reimb_employer_ins.2013,u.tot_reimb_medicare.2014,u.tot_reimb_medicare.2012,h.deaths_amenable.2014,h.deaths_amenable.2012,h.yrs_lost_potential_life_before75.2014,h.yrs_lost_potential_life_before75.2012,h.deaths_breast_cancer_F.2014,h.deaths_breast_cancer_F.2012,h.deaths_colorectal_cancer.2014,h.deaths_colorectal_cancer.2012,h.deaths_suicide.2014,h.deaths_suicide.2012,h.deaths_infant_mortality.2013,h.deaths_infant_mortality.2012,h.poor_health_adult.2015,h.poor_health_adult.2013,h.smoke_adult.2015,h.smoke_adult.2013,h.obese_adult.2015,h.obese_adult.2013,h.obese_child.2012,h.poor_dental_adult.2014,h.poor_dental_adult.2012,u.30day_hosp_readmit_medicare.2013,u.30day_hosp_readmit_NHres.2010,u.30day_hosp_readmit_NHres.2008,u.30day_hosp_readmit_NHres.2006,u.30day_hosp_readmit_NHres.2004,u.30day_hosp_readmit_NHres.2002,u.hosp_6mos_NHres.2010,u.hosp_6mos_NHres.2008,u.hosp_6mos_NHres.2006,u.hosp_6mos_NHres.2004,u.hosp_6mos_NHres.2002,u.hosp_medicare_homehealth.2014,u.avoidable_ER_medicare.2013,u.avoidable_ER_medicare.2011,u.premium_emp_private.2014,u.premium_emp_private.2013,u.premium_emp_private.2012,u.tot_reimb_medicare.2013,u.premium_emp_private_unadj.2014,u.reimb_medicare_unadj.2013,u.premium_emp_private_unadj.2013,u.reimb_medicare_unadj.2012,u.premium_emp_private_unadj.2012,h.deaths_amenable.2013,u.deaths_amenable_black.2013,u.deaths_amenable_white.2013,h.deaths_amenable.2011,u.deaths_amenable_black.2011,u.deaths_amenable_white.2011,h.deaths_amenable.2009,u.deaths_amenable_black.2009,u.deaths_amenable_white.2009,h.yrs_lost_potential_life_before75.2013,h.yrs_lost_potential_life_before75.2011,h.yrs_lost_potential_life_before75.2010,h.deaths_breast_cancer_F.2013,h.deaths_breast_cancer_F.2011,h.deaths_breast_cancer_F.2010,h.deaths_colorectal_cancer.2013,h.deaths_colorectal_cancer.2011,h.deaths_colorectal_cancer.2010,h.deaths_suicide.2013,h.deaths_suicide.2011,h.deaths_suicide.2010,h.deaths_infant_mortality.2011,h.deaths_infant_mortality.2010,h.deaths_infant_mortality.2009,h.poor_health_adult.2014,h.poor_health_adult.2012,h.smoke_adult.2014,h.smoke_adult.2012,h.obese_adult.2014,h.obese_adult.2012,a.unins_adult.2014,a.unins_child.2014,a.no_care_bc_cost_adult.2014,a.no_care_bc_cost_adult.2012,a.high_OOP_relative_under65.2014,a.at_risk_no_routine_doc_adult.2014,a.at_risk_no_routine_doc_adult.2012,q.with_usual_care_adult.2014,q.with_usual_care_adult.2012,q.with_prev_screening_above50yrs.2014,q.with_prev_screening_above50yrs.2012,q.with_vaccines_infant.2014,q.with_vaccines_infant.2012,q.drug_should_avoid_medicare.2011,q.drug_should_avoid_3conditions_medicare.2011,q.info_recovery_hospitalized.2012,q.good_hospital_staff_hospitalized.2012,q.improve_mobility_homehealth.2014,q.improved_wounds_homehealth.2014,q.sores_NHres.2014,q.antipsychotic_med_NHres.2014,u.hosp_asthma_child.2012,u.hosp_asthma_child.2010,u.hosp_ambulatory_65to74yrs.2013,u.hosp_ambulatory_above75yrs.2013
Alabama,AL,16.0,20.0,3.0,5.0,17.0,16.0,17.0,12.0,12.0,18.0,18.0,79.0,78.0,67.0,68.0,38.0,38.0,54.0,70.0,54.0,71.0,77.0,18.0,24.0,23.0,28.0,74.0,74.0,15.0,13.7,0.71,0.67,86.0,85.0,69.0,69.0,72.0,65.0,91.0,91.0,6.0,5.0,20.0,22.0,NA,NA,35.0,38.0,75.0,82.0,33.0,39.0,20.0,22.0,19.0,21.0,17.5,17.0,187.0,192.0,3677.0,3634.0,9228.0,9344.0,110.7,109.7,9361.0,9323.8,20.9,22.9,15.5,16.7,14.5,14.7,8.6,8.9,32.0,31.0,21.0,21.0,37.0,33.0,35.0,17.0,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,AK,19.0,24.0,9.0,12.0,14.0,14.0,13.0,24.0,23.0,16.0,14.0,65.0,67.0,62.0,63.0,34.0,33.0,52.0,59.0,63.0,66.0,64.0,12.0,17.0,12.0,17.0,75.0,76.0,15.4,13.7,0.65,0.28,89.0,88.0,67.0,70.0,54.0,49.0,77.0,80.0,3.0,6.0,15.0,13.0,NA,46.0,16.0,NA,48.0,52.0,23.0,29.0,11.0,NA,11.0,NA,14.2,14.0,204.0,205.0,7982.0,7733.0,6110.0,5399.0,72.4,72.0,7407.7,7193.6,23.8,17.6,15.8,15.6,22.0,23.1,5.8,5.1,24.0,24.0,19.0,23.0,29.0,28.0,30.0,9.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,AZ,15.0,24.0,9.0,13.0,15.0,17.0,15.0,16.0,19.0,18.0,17.0,72.0,68.0,66.0,63.0,32.0,31.0,46.0,65.0,60.0,72.0,65.0,13.0,17.0,15.0,18.0,71.0,74.0,14.2,13.1,0.53,0.64,87.0,86.0,66.0,66.0,62.0,58.0,86.0,86.0,5.0,6.0,17.0,20.0,91.0,106.0,17.0,20.0,47.0,51.0,19.0,23.0,19.0,20.0,8.0,9.0,14.9,15.0,173.0,178.0,4226.0,4267.0,7912.0,7998.0,73.1,72.4,6622.8,6608.5,19.1,19.1,13.2,13.1,18.0,17.3,5.3,5.8,28.0,24.0,14.0,16.0,30.0,28.0,37.0,9.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,AR,14.0,24.0,5.0,6.0,16.0,21.0,19.0,15.0,18.0,18.0,19.0,83.0,77.0,63.0,61.0,40.0,37.0,55.0,62.0,67.0,67.0,57.0,16.0,17.0,21.0,23.0,74.0,72.0,15.5,14.1,0.56,0.55,84.0,83.0,69.0,68.0,70.0,61.0,91.0,90.0,5.0,6.0,17.0,24.0,54.0,64.0,32.0,35.0,77.0,83.0,35.0,42.0,23.0,25.0,24.0,26.0,17.4,17.0,189.0,185.0,3217.0,3030.0,8652.0,8619.0,121.5,117.8,8983.7,8927.9,22.6,23.3,16.3,17.7,17.3,16.3,7.9,7.1,33.0,33.0,25.0,26.0,36.0,37.0,34.0,17.0,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,CA,12.0,24.0,4.0,8.0,12.0,16.0,13.0,14.0,17.0,17.0,16.0,77.0,71.0,70.0,73.0,35.0,34.0,45.0,65.0,63.0,75.0,69.0,11.0,16.0,18.0,21.0,73.0,74.0,14.0,13.0,0.51,0.52,85.0,84.0,64.0,64.0,65.0,59.0,92.0,91.0,6.0,6.0,13.0,17.0,88.0,87.0,18.0,21.0,50.0,55.0,19.0,24.0,20.0,22.0,19.0,20.0,14.8,15.0,163.0,167.0,4616.0,4752.0,8346.0,8310.0,70.9,72.4,5021.5,5108.3,20.0,21.1,13.0,13.6,10.5,10.0,4.8,4.5,27.0,29.0,11.0,12.0,25.0,25.0,30.0,7.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,CO,11.0,19.0,4.0,9.0,12.0,15.0,14.0,17.0,18.0,15.0,16.0,76.0,76.0,68.0,69.0,43.0,42.0,55.0,70.0,65.0,75.0,69.0,12.0,16.0,16.0,18.0,75.0,76.0,14.5,12.9,0.41,0.49,88.0,88.0,69.0,70.0,67.0,62.0,91.0,90.0,4.0,5.0,16.0,17.0,117.0,143.0,15.0,16.0,46.0,50.0,16.0,19.0,14.0,16.0,9.0,10.0,15.4,14.0,171.0,173.0,4689.0,4457.0,7415.0,7460.0,61.5,61.0,5625.3,5538.1,18.4,20.3,12.4,12.6,19.9,19.7,5.1,4.6,24.0,23.0,16.0,18.0,20.0,22.0,23.0,7.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,CT,8.0,13.0,4.0,4.0,11.0,12.0,11.0,10.0,10.0,12.0,11.0,85.0,85.0,75.0,75.0,43.0,37.0,58.0,79.0,65.0,81.0,78.0,10.0,13.0,14.0,15.0,77.0,77.0,13.9,13.0,0.45,0.56,87.0,85.0,65.0,65.0,63.0,59.0,91.0,90.0,4.0,4.0,17.0,21.0,126.0,144.0,24.0,26.0,69.0,75.0,33.0,39.0,19.0,20.0,14.0,16.0,16.7,16.0,193.0,189.0,5246.0,5209.0,9014.0,8936.0,59.7,62.0,4986.2,5146.1,17.6,19.2,11.5,12.1,9.8,9.9,4.8,5.3,23.0,21.0,13.0,16.0,25.0,25.0,30.0,8.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,DE,8.0,14.0,NA,5.0,11.0,12.0,10.0,9.0,9.0,14.0,12.0,85.0,86.0,72.0,75.0,43.0,43.0,56.0,72.0,67.0,79.0,72.0,11.0,16.0,16.0,17.0,77.0,79.0,13.1,12.2,0.55,0.71,87.0,85.0,67.0,67.0,66.0,58.0,84.0,82.0,4.0,6.0,13.0,17.0,NA,NA,29.0,27.0,69.0,68.0,38.0,40.0,20.0,20.0,16.0,19.0,16.3,16.0,166.0,159.0,4388.0,4439.0,8753.0,8514.0,84.4,84.6,6816.5,7203.9,21.3,22.7,13.5,13.4,13.2,13.2,6.4,7.6,26.0,25.0,17.0,20.0,30.0,31.0,32.0,11.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,FL,20.0,29.0,7.0,12.0,17.0,21.0,15.0,12.0,14.0,17.0,18.0,78.0,73.0,67.0,68.0,29.0,28.0,50.0,60.0,58.0,67.0,70.0,14.0,16.0,19.0,21.0,75.0,76.0,14.2,13.1,0.51,0.59,85.0,83.0,64.0,63.0,69.0,65.0,92.0,92.0,6.0,6.0,18.0,22.0,157.0,145.0,29.0,28.0,72.0,68.0,30.0,34.0,22.0,22.0,22.0,23.0,15.9,15.0,185.0,179.0,4523.0,4459.0,10434.0,10597.0,80.3,80.3,6575.2,6555.9,19.7,20.6,13.3,13.8,13.9,14.3,6.1,6.1,26.0,28.0,16.0,17.0,27.0,27.0,28.0,11.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,GA,19.0,26.0,7.0,10.0,16.0,20.0,15.0,14.0,14.0,17.0,16.0,72.0,72.0,70.0,72.0,34.0,32.0,52.0,65.0,53.0,76.0,70.0,16.0,21.0,19.0,21.0,76.0,76.0,14.7,13.4,0.64,0.72,86.0,84.0,67.0,66.0,68.0,61.0,91.0,90.0,7.0,7.0,20.0,22.0,87.0,88.0,29.0,31.0,70.0,73.0,27.0,33.0,20.0,21.0,17.0,19.0,16.6,16.0,192.0,201.0,3310.0,4761.0,8665.0,8743.0,102.7,99.3,7277.9,6965.8,22.7,21.6,15.7,15.1,12.6,11.7,7.0,6.2,26.0,27.0,18.0,19.0,31.0,31.0,35.0,12.0,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,HI,6.0,10.0,2.0,3.0,8.0,9.0,12.0,15.0,14.0,14.0,15.0,85.0,85.0,70.0,70.0,38.0,43.0,57.0,73.0,58.0,74.0,67.0,9.0,21.0,13.0,18.0,77.0,77.0,14.7,13.4,0.23,0.25,83.0,85.0,70.0,69.0,61.0,55.0,83.0,83.0,4.0,3.0,8.0,11.0,66.0,52.0,12.0,13.0,35.0,41.0,10.0,12.0,12.0,NA,5.0,NA,13.9,14.0,129.0,131.0,3513.0,3031.0,5592.0,5408.0,76.1,71.4,5368.5,5444.9,16.7,16.3,13.9,13.6,13.8,13.1,6.4,4.9,22.0,20.0,14.0,13.0,24.0,23.0,27.0,7.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,ID,17.0,23.0,6.0,9.0,14.0,16.0,18.0,20.0,21.0,15.0,13.0,73.0,72.0,60.0,61.0,33.0,32.0,57.0,59.0,56.0,72.0,70.0,13.0,16.0,16.0,22.0,74.0,74.0,15.0,13.6,0.35,0.29,90.0,88.0,74.0,70.0,68.0,63.0,91.0,91.0,3.0,4.0,16.0,20.0,NA,NA,15.0,17.0,42.0,45.0,15.0,17.0,14.0,14.0,12.0,11.0,14.2,14.0,170.0,162.0,3734.0,3702.0,7365.0,7198.0,67.9,64.8,6111.7,5808.9,20.4,15.8,12.8,14.2,20.0,19.0,5.6,5.4,25.0,23.0,14.0,17.0,29.0,30.0,28.0,8.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,IL,10.0,18.0,3.0,5.0,11.0,14.0,14.0,12.0,14.0,16.0,15.0,83.0,80.0,66.0,67.0,35.0,34.0,56.0,74.0,55.0,71.0,67.0,10.0,13.0,16.0,18.0,78.0,77.0,14.1,12.9,0.43,0.47,87.0,86.0,68.0,67.0,67.0,61.0,89.0,88.0,6.0,7.0,21.0,25.0,110.0,117.0,28.0,31.0,73.0,73.0,38.0,51.0,20.0,23.0,20.0,22.0,16.0,16.0,188.0,192.0,4649.0,4489.0,9118.0,9219.0,87.2,88.7,6125.0,6160.5,21.9,23.0,15.0,16.0,10.5,9.8,6.0,6.5,23.0,22.0,15.0,18.0,31.0,30.0,34.0,8.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
